episode_num,alBaji,Ameni,Azza,Dalanda,Douja,Fadhila,Fatma,Fouchika,Jannet,Sbouii,Slimen,Zaineb
episode_1,0,0,3,2,0,4,0,0,2,3,5,5
episode_2,2,1,0,3,0,0,0,0,0,4,4,2
episode_3,0,4,3,1,0,2,2,0,2,5,6,2
episode_4,1,1,2,2,1,3,0,0,2,4,5,3
episode_5,2,3,3,3,1,1,1,0,2,3,5,5
episode_6,0,0,4,5,1,3,1,0,2,2,5,1
episode_7,3,2,2,2,1,2,0,0,3,3,5,2
episode_8,1,3,2,3,2,3,1,0,1,3,4,4
episode_9,1,0,4,3,4,2,0,0,1,4,8,6
episode_10,0,3,3,2,0,4,0,0,4,4,5,2
episode_11,1,1,2,3,3,3,0,0,1,5,6,5
episode_12,1,0,4,3,1,0,0,0,2,3,4,3
episode_13,1,2,2,3,0,3,0,0,1,2,4,2
episode_14,0,1,4,3,0,3,0,0,2,3,6,6
episode_15,1,2,4,3,0,2,0,0,3,5,5,3
episode_16,1,1,4,1,1,2,0,0,3,3,6,4
episode_17,1,2,5,0,1,4,0,0,2,3,6,2
episode_18,3,0,3,3,0,2,0,4,2,2,6,4
episode_19,3,2,3,3,2,3,0,4,1,4,6,3
episode_20,1,2,2,1,0,1,1,4,1,4,4,2
episode_21,1,0,2,2,0,3,1,5,3,4,4,2
episode_22,1,1,5,1,2,4,1,3,1,4,6,3
episode_23,1,0,3,3,1,2,0,3,1,3,5,1
episode_24,1,1,3,3,0,2,0,3,2,4,5,3
episode_25,3,2,4,1,2,3,1,2,1,3,7,4
episode_26,1,0,4,2,0,4,0,1,3,5,7,3
episode_27,2,1,1,3,0,4,0,1,1,3,5,4
episode_28,2,0,3,5,1,1,0,2,1,3,6,4
episode_29,1,3,3,1,4,4,0,1,2,3,5,5
